ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"TB003-500-03OR"	"J1"	"CUI_TB003-500-03OR"	"1"	""	""	""	""	""
"2"	"TB003-500-02OR"	"J2"	"CUI_TB003-500-02OR"	"1"	""	""	""	""	""
"3"	"XL-1608UWC-04"	"LED2"	"LED0603-RD_WHITE"	"1"	"XL-1608UWC-04"	"XINGLIGHT(成兴光)"	"LCSC"	"C965808"	"0.006"
"4"	"470Ω"	"R7,R6"	"R0603"	"2"	"0603WAF4700T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C23179"	"0.001"
"5"	"NCD0603O3"	"U1"	"LED0603-RD"	"1"	"NCD0603O3"	"国星光电"	"LCSC"	"C7429913"	"0.008"
"6"	"SMBJ24CA_C151919"	"D3"	"SMB_L4.6-W3.6-LS5.3-BI"	"1"	"SMBJ24CA"	"BORN(伯恩半导体)"	"LCSC"	"C151919"	"0.046"
"7"	"SB1045L"	"D1"	"TO-277_3P-L5.4-W4.0-LS6.5-TR"	"1"	"SB1045L"	"MDD"	"LCSC"	"C113945"	"0.15"
"8"	"XH-3A-P"	"CN2"	"CONN-TH_XH-3A"	"1"	"XH-3A-P"	"HCTL(华灿天禄)"	"LCSC"	"C2979572/C7466690"	""
"9"	"100nF"	"C2"	"C0603"	"1"	"CGA3E3X7S2A104KT0Y0N"	"TDK"	"LCSC"	"C338075"	"0.034"
"10"	"10uF"	"C6"	"C1210"	"1"	"CL32B106KBJNFNE"	"SAMSUNG(三星)"	"LCSC"	"C18739"	"0.201"
"11"	"1uF"	"C7"	"C0603"	"1"	"EMK107B7105KAHT"	"TAIYO YUDEN(太诱)"	"LCSC"	"C385893"	"0.016"
"12"	"4.7kΩ"	"R1,R2,R3,R5"	"R0603"	"4"	"0603WAF4701T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C23162"	"0.001"
"13"	"0Ω"	"R4"	"1206"	"1"	"0R(000) ±1%"	""	"LCSC"	"undefined"	""
"14"	"MCF8315A1VRGFR"	"U2"	"VQFN-40_L7.0-W5.0-P0.50-TL-EP5.7"	"1"	"MCF8315A1VRGFR"	"TI(德州仪器)"	"LCSC"	"C6589896"	"4.599"
"15"	"B4B-XH-A-BK(LF)(SN)"	"U4"	"CONN-TH_B4B-XH-A-BK-LF-SN"	"1"	"B4B-XH-A-BK(LF)(SN)"	"JST"	"LCSC"	"C566013"	"0.119"
"16"	"1uF"	"C1"	"C0603"	"1"	"FS18B105K6R3PBG"	"PSA(信昌电陶)"	"LCSC"	"C525331"	"0.008"
"17"	"2.2uF"	"C3"	"C0603"	"1"	"JMK107B7225KA-TR"	"TAIYO YUDEN(太诱)"	"LCSC"	"C412627"	"0.034"
"18"	"47nF"	"C5"	"C0603"	"1"	"500R14W473KV4T"	"JOHANSON(约翰逊)"	"LCSC"	"C430998"	"0.013"
